U101923894000154023600713     400416        SANTO ANTONIO ALUMINIO LTDA                       
E20192389400015409350         EKIT KIT JANELA 6,00X 2,40 FOSCO 04PCS            CJ    +000000100
E20192389400015409351         EKIT KIT JANELA 6,00 X 2,40 PRETO 04PCS           CJ    +000000000
E20192389400015409352         EKIT KIT JANELA 6,00 X 2,40 BRONZE                CJ    +000000950
E20192389400015409353         EKIT KIT JANELA 2,00 X 1,60 BRONZE 04PCS          CJ    +000000100
E20192389400015409354         EKIT KIT PORTA 1,50 X 2,40 BRONZE 02PCS           CJ    +000000100
E20192389400015409355         EKIT KIT PORTA 2,00 X 2,40 BRONZE 02PCS           CJ    +000000100
E20192389400015409356         EKIT KIT PORTA 2,00 X 2,40 BRONZE 04PCS           CJ    +000000200
E20192389400015409357         EKIT KIT PORTA 3,00X 2,40 BRONZE 04PCS            CJ    +000000100
E20192389400015409358         EKIT KIT JANELA 1,00 X 1,20 PRETO 02PCS           CJ    +000001600
E20192389400015409359         EKIT KIT JANELA 1,20 X 1,20 PRETO 02PCS           CJ    +000001900
E20192389400015409360         EKIT KIT JANELA 1,50 X 1,20 PRETO 02PCS           CJ    +000002400
E20192389400015409361         EKIT KIT JANELA 1,50 X 1,20 PRETO 04PCS           CJ    +000000900
E20192389400015409362         EKIT KIT JANELA 2,00 X 1,20 PRETO 04PCS           CJ    +000001000
E20192389400015409363         EKIT KIT JANELA 2,50 X 1,20 PRETO 04PCS           CJ    +000000700
E20192389400015409364         EKIT KIT JANELA 1,00 X 1,20 BRONZE 02PCS          CJ    +000000900
E20192389400015409365         EKIT KIT JANELA 1,20 X 1,20 BRONZE 02PCS          CJ    +000001100
E20192389400015409366         EKIT KIT JANELA 1,50 X 1,20 BRONZE 04PCS          CJ    +000000100
E20192389400015409367         EKIT KIT JANELA 2,00 X 1,20 BRONZE 04PCS          CJ    +000001300
E20192389400015409368         EKIT KIT JANELA 2,50 X 1,20 BRONZE 04PCS          CJ    +000000300
E20192389400015409369         QUADROS C/ MODURA                                 PC    +000000000
E20192389400015409370         CBA LAMBRI ESTREITO PERFIL 6060 T5 FOSCO          M     +000009700
E20192389400015409371         SUPORTE 90 P/UNIAO 2 VIDROS S/MIOLO AL 1320       PC    +000000700
E20192389400015409372         SUPORTE 90 P/FIXACAO DE 02 VIDROS AL 1321         PC    +000001000
E20192389400015409373         SUPORTE S/MIOLO P/UNIAO DE 04 VIDROS AL 1316      PC    +000002100
E20192389400015409374         FUCAO SIMP P/BANDEIRA LATERAL E SUPERIOR AL1209   PC    +000001700
E20192389400015409375         SUPORTE 90 PARA UNIAO DE 04VIDROS AL 1319         PC    +000000000
E20192389400015409376         DOBRADICA AUTOMATICA P/BOX  AL 1114               PC    +000002000
E20192389400015409377         DOBRADICA DUPLA AUT VIDRO DIREITA AL1129D         PC    +000020000
E20192389400015409378         DOBRADICA DUPLA AUTOMATICA VIDRO ESQ AL1129E      PC    +000001000
E20192389400015409379         CORDAO DE NYLON C/02ARGOLAS AUT P/REG.BASCULHAN   CJ    +000002100
E20192389400015409381         TRINCO DE PRESSAO AL 1800 FOSCO/PRETO/BRONZE      PC    +000001500
E20192389400015409382         CONTRA TRINCO DE PRESSAO AL 1800C FOSC/PRET/BRON  PC    +000001900
E20192389400015409385         SUPORTE FENDA CRISTAL 04MM BF 04                  PC    +000001400
E20192389400015409386         SUPORTE FENDA CRISTAL 06MM BF 06                  PC    +000000200
E20192389400015409387         SUPORTE FENDA CRISTAL 08MM                        PC    +000005000
E20192389400015409388         GERDAU CANTONEIRA 1 X 1/4                         PC    +000007190
E20192389400015409389         FECHO C/MANCAL NYLON P/BUZIO FOS FEC816           UNI   +000010200
E20192389400015409390         FECHO AL C/MANCAL NYL P/BUZ PTO FEC 817           UNI   +000001300
E20192389400015409391         TARUGO DE ESPUMA P/DIVISORIA CINZ R8C             M     +001109600
E20192389400015409392         TARUGO DE ESPUMA P/DIVISORIA CINZ R10C            M     +000720950
E20192389400015409393         REBITE DE REPUXO DE ALUMINIO 4X14 PRETO           UNI   +000033400
E20192389400015409394         CBA PERFIL AL TUB LIGA AA6060 T5 N1828 ANOD.FOSC  M     +000000600
E20192389400015409395         CBA PERFIL AL TUB LIGA AA6060 T5 N1499 ANOD.FOSC  M     +000000600
E20192389400015409396         TAMPA CORRIMAO NYLON                              PC    +000067500
E20192389400015409397         PUXADOR BRILHANTE 50X30 PAL 28                    PC    +000000000
E20192389400015409399         GERDAU BARRA QUADRADA 1                           PC    +000000266
E20192389400015409400         ROLDANA P/PORTA C/REGULAGEM MP ROL 415            PC    +000000500
E20192389400015409401         BUCHA NYLON D-7 DURAFIX                           UNI   +000474700
E20192389400015409402         BUCHA NYLON FIX D-6                               UNI   +000824100
E20192389400015409404         SUPORTE L P/BALCAO                                PC    +000006300
E20192389400015409406         ABRAGOL DISCO DE CORTE 4,5  A36 RB 23             PC    +000014400
E20192389400015409407         ABRAGOL DISCO DE CORTE 7 A36 RB 23                PC    +000076800
E20192389400015409408         ABRAGOL DISCO DE CORTE 10 A36 RB 23               PC    +000000900
E20192389400015409409         ABRAGOL DISCO DE CORTE 12 A36 RB 23               PC    +000005200
E20192389400015409410         ABRAGOL DISCO DESBASTE 4 X 3/16 A107 TB           PC    +000000300
E20192389400015409411         ABRAGOL DISCO DESBASTE 4.50  A107 TB              PC    +000014400
E20192389400015409412         ABRAGOL DISCO DE DESBASTE 7 A107 TB               PC    +000007800
E20192389400015409413         ABRAGOL DISCO DE DESBASTE 9X1/4 A107 TB           PC    +000000700
E2019238940001548505          LUVA DE COURO VAQUETA 25 CM                       UNI   +000000600
E20192389400015409416         AGROLAR LAMBRIL 2 LINHA                           M     +000000000
E20192389400015409417         CBA TUBO REDONDO 5/8 X 1.0 6063-T5 FOSCO          M     +000048090
E20192389400015409418         AGROLAR TIRA RAIADA GALV. N-2 CH 28               PC    +000002250
E20192389400015409419         CBA PERFIL AL.TUB.AA6060T5 E 1618/ANOD.FOSCO      M     +000111620
E20192389400015409420         REGUA NATURAL BI-TUB 2X1 2,5                      PC    +000000200
E20192389400015409423         TERMINAL P/TRILHO                                 M     +000007600
E20192389400015409424         REGUA NATURAL BI TUB 2X1 2M NH PECA C/02 METROS   PC    +000000900
E20192389400015409425         TRILHO DUPLO NATURAL 6M                           M     +000010200
E20192389400015409426         BOSH BROCA DIAMANTADA MARTELETE 6X50 PC 043894    PC    +000000800
E20192389400015409427         BOSH BROCA DIAMANTADA MARTELETE 7X50 PC 043894    PC    +000001450
E20192389400015409428         BOSH BROCA DIAMANTADA MARTELETE 8X50MM PC 043894  PC    +000001200
E20192389400015409430         FIXO VD TEMP INC 5.14X1.40                        PC    +000000000
E20192389400015409432         SUPORTE CORRIMAO BRONZE                           PC    +000003700
E20192389400015409433         KIT BOX FK1 133 02PCS FOSCO                       CJ    +000002100
E20192389400015409434         KIT BOX CANTO FOSCO CK1 120 04PCS                 CJ    +000000200
E20192389400015409435         KIT BOX CANTO FOSCO CK1 150 04PCS                 CJ    +000000200
E20192389400015409436         KIT BOX PRETO FK1 02PCS                           CJ    +000000400
E20192389400015409437         KIT BOX CANTO PRETO CK1 04PCS                     CJ    +000000500
E20192389400015409438         KIT BOX BRONZE FK1 150 02PCS                      CJ    +000000200
E20192389400015409439         KIT BOX BRONZE FK1 160 02PCS                      CJ    +000000200
E20192389400015409440         KIT BOX CROMADO FK1 150 02PCS                     CJ    +000000200
E20192389400015409441         ACO CEARENSE TUBO INDUSTRIAL 3 X 2.00             M     +000000850
E20192389400015409442         GERDAU PREGO CC 14X11-1 X 1/4                     KG    +000000850
E20192389400015409443         GERDAU PREGO CC 19X27 2.1/2 X 9                   KG    +000004900
E20192389400015409444         GERDAU PREGO CC 19X33 3 X 9                       KG    +000000300
E20192389400015409445         GERDAU PREGO CC 3.1/2 X 9                         KG    +000000600
E20192389400015409446         BROCA AR 1/8 DORMER                               UNI   +000001200
E20192389400015409447         BROCA AR 5/32 DORMER                              UNI   +000000300
E20192389400015409448         VARETA COBREADA 3/32 (2.38MM)                     KG    +000000815
E20192389400015409449         CBA PERFIL BP359 6063-T5 FOSCO                    M     +000037250
E20192389400015407999         CBA PERF AL.SOL LIGA AA6060 T5 N0878 6000MM NAT   M     +000003600
E20192389400015407998         BANDEIRANTES VIDRO TEMP FUME 8MM INST             M2    +000046484
E20192389400015407997         BANDEIRANTES VIDRO TEMP INCOLOR 8MM INST          M2    +000052292
E20192389400015407996         BANDEIRANTES VIDRO TEMP FUME10MM INST             M2    +000053046
E20192389400015407995         ACO CEARENSE TUBO GALV. 1 - 2.65                  M     +000007060
E20192389400015407994         ACO CEARENSE TUBO GALV. 1.1/4 - 2.65              M     +000008260
E20192389400015407993         ACO CEARENSE CHAPA PRETA 1/4 - 2 X 1              PC    +000000000
E20192389400015407992         GERDAU BARRA CHATA 3/8 X 1/8                      PC    +000026650
E20192389400015407991         GERDAU CANTONEIRA 1/2 X 1/8                       PC    +000008467
E20192389400015407990         GERDAU PERFIL T  3/4 X 1/8                        PC    +000000000
E20192389400015407988         GERDAU TELA ALAMBRADO 2,5MM 15X5 2X25MM           M     +000000000
E20192389400015407987         GERDAU TELA ALAMBRADO 2.5M 15X5CM 1,5X25M         M     +000000385
E20192389400015407986         BROCA ACO 9/64 DORMER                             UNI   +000000600
E2019238940001548151          SILVANA FECHADURA SOBREPOR 930X2 92358MELH        UNI   +000000400
E20192389400015407984         ACO CEARENSE TUBO INDUSTRIAL 3 - 1,20             M     +000004200
E20192389400015407983         CBA PERFIL AL TUB AA6060 T5 N1493 ANOD.FOSCO      M     +000016860
E20192389400015407982         CBA PERF BP370 6063-T5 FOSCO                      M     +000000950
E20192389400015407981         BANDEIRANTES VIDRO TEMP BRONZE 10MM INST          M2    +000049594
E20192389400015407980         BANDEIRANTES VIDRO INCOLOR 10MM                   M2    +000000353
E20192389400015407979         BRITA 25                                          M     +000000000
E20192389400015407974         ARMACAO DE ALUMINIO                               PC    +000000500
E20192389400015407973         ALIANCA FECHADURA EXT.AL SERRAL ESP B/B-D         PC    +000000600
E20192389400015407972         ALIANCA FECHADURA AL SERRAL ESP A/A               PC    +000000400
E20192389400015407971         BANDEIRANTES VIDRO TEMP BRONZE 8MM INST           M2    +000050517
E20192389400015407970         GERDAU BARRA REDONDA 2                            PC    +000000001
E20192389400015407969         CHAPINHA P/TRINCO BASCULANTE PRETO AL 1801        PC    +000005000
E20192389400015407968         BOTAO DE CORRECAO LAMINA AL 1002A                 PC    +000006200
E20192389400015407967         ACO CEARENSE TUBO GALV. 4 - 3.00                  M     +000000000
E20192389400015407966         FACAO SIMP P/BAND LATER E SUP AL 1209 BRONZE      PC    +000001200
E20192389400015407965         ARRUELA LISA 3/8                                  KG    +000020985
E20192389400015407964         ARRUELA LISA POLIDA 5/16                          KG    +000027436
E20192389400015407963         ARRUELA LISA POLIDA 5/8                           KG    +000059200
E20192389400015407962         BARRA ROSCA 1/2 REF 1020 NC 13F CISER             UNI   +000008700
E20192389400015407961         BARRA ROSCA 3/8 1020 NC 16F CISER                 UNI   +000009400
E20192389400015407960         BARRA ROSCA 5/16 1020 NC 18F CISER                UNI   +000007000
E20192389400015407959         BARRA ROSCA 5/8 1020 NC 11F                       UNI   +000003900
E2019238940001548150          PARAFUSO TELHA 5/16X110MM                         PC    +000040200
E2019238940001548149          PRIMATER CAIXA CORREIO AMARELA 900                UNI   +000000000
E20192389400015407956         PORCA 1/2 SEXT. 1020 NC 13F CH3/4                 UNI   +000122600
E20192389400015407955         PORCA 3/8 SEXT. 1020 NC 16F CH 9/16               UNI   +000123300
E20192389400015407954         PORCA 5/16 SEXT. 1020 NC 18F CH 1/2               UNI   +000123800
E20192389400015407953         PORCA 5/8 SEXT. 1020 NC 11F CH 15/16              UNI   +000063300
E20192389400015407952         BANDEIRANTES VIDRO TEMP INCOLOR10MM INST          M2    +000049345
E20192389400015407951         CBA CHAPA XADREZ 2000X1000X1.00 3105 H114         PC    +000000000
E20192389400015407950         CONTRA TRINCO P/AL 1335 SEM MIOLO/BRONZE          PC    +000000400
E20192389400015407949         CBA PERFIL BP352 6063-T5 FOS/BATEDOR              M     +000027060
E20192389400015407948         CBA PERFIL BP070 6063-T5FOS 4500MM/FIXO PORT      M     +000000975
E20192389400015407947         CBA PERFIL BP357 6063-T5 FOSC/MARCO SUPERIOR      M     +000070535
E20192389400015409451         ACO CEARENSE METALON 50 X 50 1.50                 PC    +000000000
E20192389400015409452         ACO CEARENSE METALON 70 X 30 1.50                 PC    +000000050
E20192389400015409454         CBA PERFIL BL069 6063-T5 PRETO                    M     +000002000
E20192389400015409455         CBA PERF 0401 6063 T5 FOSCO/DIV.BOX MP            M     +000025470
E20192389400015409456         CBA PERF 0404 6063 T5 FOSCO/INF.BOX MP            M     +000026620
E20192389400015409457         CBA PERF 0400 6063 T5 FOSCO/LAT.BOX MP            UNI   +000053170
E20192389400015409458         ACO CEARENSE TIRA ARTICULADA GALV.MEDIA           PC    +000000000
E20192389400015409459         CONTRA TRINCO PARA AL 1335 SEM MIOLO BRONZE       PC    +000000400
E20192389400015409460         PROMEL CONCHA CEGA AL CON 741 PRETO               PC    +000000300
E20192389400015409461         PROMEL PIVOT P/BASC.S/25 NYL 082 PRETO            PC    +000000300
E20192389400015409462         PROMEL MACANETA CAP FURACAO  CAPRI 323/BR 9003    PC    +000000900
E20192389400015409463         ACO CEARENSE METALON 20 X 20 1.20                 PC    +000004950
E20192389400015409464         ACO CEARENSE TUBO PATENTE 3/4 X 2.25              M     +000000000
E20192389400015409466         FERROLHO TARJETA 1.1/2                            PC    +000001400
E20192389400015409467         CBA PERFIL BP357 6063 T-5 PRETO                   M     +000002498
E20192389400015409468         CBA PERFIL BP309 6063 T-5 PRETO                   M     +000003670
E20192389400015409469         CBA PERFIL BP300 6063 T-5 PRETO                   M     +000000910
E20192389400015409470         CBA PERFIL BP202 6063 T-5 PRETO                   M     +000037800
E20192389400015409471         GERDAU FORMA P/TRELICA SAE1010 120X30X2,25X6000   PC    +000002000
E20192389400015409473         CBA PERFIL AL TUB LIGA AA6060 T5 N1655 AND FOSCO  M     +000000000
E20192389400015409474         CBA PERF AA6060 T5 N2594 AND FOS./MOLD.BOX MP     M     +000085920
E20192389400015409475         FITA DE VEDACAO 7X8 (275) SHELEGEU                M     +000164710
E20192389400015409476         FECHADURA S/MACANETA CIL LATAO ESP INOX CROMADA   UNI   +000000400
E20192389400015409477         CALCO P/BOX SIST BX                               PC    +000116900
E20192389400015409478         BATEDEIRA P/BOX SIST BX                           PC    +000171700
E20192389400015409479         ACO CEARENSE TIRA GALV.REFORCADA 0,65 4,14KG      PC    +000066300
E20192389400015409481         PARAFUSO INOXIDAVEL 4.2X25MM 8X1 BELENUS          UNI   +000136600
E20192389400015409482         PARAFUSO INOXIDAVEL 4.2X38MM 8 X 1.1/2 BELENUS    UNI   +000247000
E20192389400015409483         MOLA PARA PORTA GDS 8200                          PC    +000000600
E20192389400015409487         REGUA ESFERA SOLD 50MM FORTILIT                   PC    +000000100
E20192389400015409488         REGUA GAVETA/ICO                                  PC    +000000300
E20192389400015409490         ADESIVO PULVITEC POLYTUBOS                        PC    +000000000
E20192389400015409492         BALCAO INOX 1,00 G.PLUS C/ESCORREDOR              PC    +000000100
E20192389400015409493         BALCAO INOX 1,20 G.PLUS C/ESCORREDOR              PC    +000000100
E20192389400015409494         BALCAO INOX 1,40 G.PLUS C/ESCORREDOR              PC    +000000100
E20192389400015409495         BALCAO INOX 1,80/G.PLUS C/ESCORREDOR              PC    +000000100
E20192389400015409496         BALCAO INOX 2,00/G.PLUS C/ESCORREDOR LISO         PC    +000000100
E20192389400015409507         DOBRADICA FAMA 3.1/2                              PAR   +000050000
E20192389400015409509         IQUINE SOLVENTE 1030 5,00L                        GL    +000005000
E20192389400015409510         IQUINE PINTALAR/AREIA 18L                         LT    +000000200
E20192389400015409511         IQUINE DELACRYL PISOS 3,6L                        GAL   +000001700
E20192389400015409517         TUBO 1,00 X 1/2 6063-T5 K-0035 PRETO              M     +000029300
E20192389400015409518         CBA PERFIL BP302 6063-T5 PRETO                    M     +000003300
E20192389400015409519         CBA PERFIL BP321 6063-T5 PRETO                    M     +000001600
E20192389400015409520         CBA PERFIL BP415 6063-T5 PRETO                    M     +000001150
E20192389400015409521         CBA PERFIL BP352 6063-T5 PRETO                    M     +000003600
E20192389400015409522         CBA PERFIL BP359 6063-T5 PRETO                    M     +000002600
E20192389400015409523         BETA BORRACHA EM EPDM BT 520                      M     +000057950
E20192389400015409524         BETA BORRACHA EM EPDM BT-541                      M     +000032700
E20192389400015409525         FERRONORTE CHAPA 18 1,20X1000X2000MM              PC    +000002950
E20192389400015409526         FERRONORTE CHAPA 20 0,90X1000X2000MM              PC    +000002450
E20192389400015409527         CBA PERFIL AL LIGA N-2595/SUP.BOX MP              M     +000000330
E20192389400015409528         PERFIL VEDABOX C/3,60MM/BAGUETE MP                PC    +000024850
E20192389400015409529         TUBO IND.RET ZC 40 X 20/METALON GALV              PC    +000015000
E20192389400015409530         ACO CEARENSE LAMBRI ONDULADO 0,90                 PC    +000000500
E2019238940001548476          KIT BOX AL KC 4P AFS 120 FOSCO                    PC    +000001600
E20192389400015409532         TUBO IND RETANG 30X20/METALON GALV                PC    +000009500
E20192389400015409533         TUCANO GRANDE                                     PC    +000001100
E20192389400015409534         CBA PERFIL BP308 6063-T5 FOSCO                    M     +000000050
E20192389400015409535         CBA PERF 3287 6060 T5 /LAMB.BZE 16CM              M     +000020050
E20192389400015409536         BROCA AR 5/8 DORMER                               UNI   +000000100
E20192389400015409537         PARAFUSO FEN AA PA 4.2X25MM 8X1/BELENUS           PC    +000863000
E20192389400015409538         PARAFUSO FEN MD CH 4.2X30MM 8 X 1.1/4 BELENUS     PC    +000158800
E20192389400015409539         TUBO 2X2MM FOSCO                                  M     +000000000
E20192389400015409540         TUBO 2X2MM BRONZE                                 M     +000000250
E20192389400015409541         TUBO 2X2MM BANHADO                                M     +000026380
E20192389400015409542         TUBO 1.1/4X1,58MM ANODIZADO                       M     +000001800
E20192389400015409543         TUBO 08 LONGO MENOR                               M     +000002400
E20192389400015409544         TUBO 08 LONGO MAIOR                               M     +000015850
E20192389400015409545         TUBO ELIPTICO                                     M     +000002800
E20192389400015409546         TRILHO PANTOGRAFICO EXTRA SUPER                   M     +000000100
E20192389400015409549         ACO CEARENSE METALON 30 X 20 1.20                 PC    +000000000
E20192389400015409550         ACO CEARENSE TUBO PATENTE GALV 3/4 X 1.55         M     +000009400
E20192389400015409551         ACO CEARENSE TUBO PATENTE GALV 1 X 1.55           M     +000026480
E20192389400015409552         ACO CEARENSE TUBO GALV. 4 - 3.35                  M     +000000600
E20192389400015409553         IQUINE FUNDO SERRALHEIRO CINZA 3,6 LTD            GAL   +000001700
E20192389400015409554         AGROLAR CAIXA P/BOBINA S/MOLA                     PC    +000001400
E20192389400015409555         CBA PERFIL E062 T5 PRETO                          M     +000000800
E20192389400015409557         CUNHA DESLIZANTE MP                               PC    +000234400
E20192389400015409558         FIXO P/ CORREMAO 1.44.8 X 0.78                    PC    +000000000
E20192389400015409560         PEITORIL 4,43 X 0,60                              PC    +000000800
E20192389400015409561         TAMPA P/MAX-AR MOD MAX                            PC    +000050000
E20192389400015409562         CONCHA CEGA ALUMINIO S/TRAVA FOSCO                PC    +000000700
E20192389400015409563         GEPETEC ROLDANA ACO 2.1/2 V CX ABERTA             PC    +000000300
E20192389400015409564         GERDAU ARAME GALV 10                              KG    +000001774
E20192389400015409565         PIVOTANTE VD TEMPERADO                            PC    +000000200
E20192389400015409567         ACO CEARENSE TUBO PATENTE GALV 1/2 X 1.55         M     +000000850
E20192389400015409568         ACO CEARENSE TUBO PATENTE GALV 1.1/4 X 1,55       M     +000041330
E20192389400015409571         CBA PERFIL E077 6063-T5 FOSCO                     M     +000178470
E20192389400015409573         PUXADOR PAL374 DIAM 1 ENTREFUROS 300MM            PC    +000000400
E20192389400015409574         PUXADOR PAL32 DIAM 1 ENTREFUROS 300M              PC    +000001900
E20192389400015408006         CBA TELHA TRAPEZOIDAL 0,500X1056X08500MM 8,50MM   M     +000000000
E20192389400015409120         CBA TELHA TRAPEZOIDAL 0,45X1056X 5005 H-19        M     +000017300
E2019238940001548287          BANDEIRANTES KIT BOX AL KF-2P-150 INC/FOS         UNI   +000004100
E20192389400015409576         ARRUELA LISA POLIDA 1/2                           KG    +000130736
E20192389400015409577         ARRUELA LISA 1/4                                  KG    +000043373
E20192389400015409579         BARRA ROSCA 1/4 1020 CISER                        UNI   +000003900
E20192389400015409580         PORCA 1/4 SEXT. 1020 NC 20F CH 7/16               UNI   +000152500
E20192389400015409581         PORCA 3/16 SEXT. 1020 NC 24F                      UNI   +000007400
E20192389400015409582         PIVOT P/BASCULANTE NYLON 25 PRETO                 PC    +000010000
E20192389400015409584         CBA PERFIL BP336/25 6063 T5 PRE 4600 MOLDURA      M     +000001200
E20192389400015409585         CBA PERFIL BP069 6063-T5 PRE 4600/DIVISOR         M     +000000600
E20192389400015409586         CBA PERFIL BP070 6063-T5 PRE 4600MM               M     +000000600
E20192389400015409587         CBA PERFIL BP360 6063-T5 PRE                      M     +000001200
E20192389400015409590         FITA VEDAR ROSCA 18X50                            PC    +000000000
E20192389400015409599         IQUINE DELACRYL PISO 18L                          LT    +000000000
E20192389400015409600         IQUINE DIATEX  18L                                LT    +000000000
E20192389400015409614         CBA PERFIL BP069 6063 T5 FOSCO 4600MM             M     +000001200
E20192389400015409615         CBA PERFIL BP375-A 6063-T5 FOSCO                  M     +000009340
E20192389400015409616         CBA PERFIL BP201 6060-T5 FOSCO                    M     +000021320
E20192389400015409617         KIT BOX FK1 200 2PCS FOSCO                        PC    +000000200
E20192389400015409618         KIT BOX FK1 100 02PCS FOSCO                       PC    +000001000
E20192389400015409619         KIT BOX FK1 180 2PCS PRETO                        CJ    +000000800
E20192389400015409620         KIT BOX CK1 100 4PCS PRETO                        CJ    +000000100
E20192389400015409621         KIT BOX FK1 110 2PCS BRANCO                       PC    +000000100
E20192389400015409622         KIT BOX FK1 180 2PCS BRANCO                       PC    +000000000
E20192389400015409623         KIT BOX FK1 110 2PCS CROMADO                      PC    +000000200
E20192389400015409624         KIT BOX FK1 180 02PCS CROMADO                     CJ    +000000200
E20192389400015409625         KIT BOX CK1 120 4PCS CROMADO                      CJ    +000000400
E20192389400015409626         KIT JANELA ENG 4PCS 180X120 8MM FOSCO             CJ    +000002100
E20192389400015409627         KIT JANELA ENG 04PCS 150X120 8MM FOSCO            CJ    +000000900
E20192389400015409628         KIT JANELA ENG 4PCS 180X120 8MM PRETO             PC    +000002100
E20192389400015409629         KIT BOX ENG 4PCS 350X240 10MM BRONZE              CJ    +000000100
E20192389400015409630         KIT BOX CK1 100 4PCS FOSCO                        PC    +000000300
E20192389400015409631         KIT BOX FK1 100 2PCS PRETO                        PC    +000001000
E20192389400015409632         KIT BOX FK1 133 2PCS PRETO                        CJ    +000001100
E20192389400015409633         ACO CEARENSE TUBO PATENTE 2 X 2,25                M     +000000200
E20192389400015409634         ABRAGOL DISCO DE CORTE 9 A36 RB 23                PC    +000001700
E20192389400015409635         ABRAGOL DISCO DE ESMERIL A24Q6V7 FINO/REBOLO RET  PC    +000000000
E20192389400015409636         KIT BOX FK1 180 2PCS FOSCO                        CJ    +000000300
E20192389400015409637         BRACO MAX-AR MOD PRATICO C/200MM FOSCO            PAR   +000001800
E20192389400015409638         ACO CEARENSE TUBO PATENTE GALV 1.1/2 X 1.55       M     +000012850
E20192389400015409639         BETA BORRACHA EM EPDM BT 615                      M     +000010000
E20192389400015409640         BETA BORRACHA EM EPDM BT 817                      M     +000010000
E20192389400015409641         BETA BORRACHA EM EPDM BT 555                      M     +000010000
E20192389400015409643         PARAFUSO FEN MD CH 5.5X40MM 12X1.1/2/BELENUS      PC    +000018000
E20192389400015409644         CBA PERF 3282 6060 T5 BRONZE                      M     +000002300
E2019238940001548264          FIXO P/ CORREMAO 1.42.4 X 0.78                    UNI   +000000000
E2019238940001548265          FIXO P/ CORREMAO 1.64.5 X 0.78                    UNI   +000000000
E20192389400015409647         ACO CEARENSE METALON 50 X 30 1.20                 PC    +000000800
E20192389400015408262         CBA TUBO RET 1X1/2X10 6063 T5 BRONZE              M     +000030600
E20192389400015408513         ARRUELA PRESSAO 1/2                               UNI   +000000000
E20192389400015408863         ARRUELA PRESSAO 1/4                               UNI   +000000000
E20192389400015408220         ARRUELA PRESSAO 3/16                              UNI   +000000000
E20192389400015408219         PET MONOCRIL CRISTAL 0,98 X 1,80                  PC    +000003793
E20192389400015408505         PET MONOCRIL CARAMELO 0,98 X 1,80                 PC    +000000000
E20192389400015408364         PET AMAZONAS CRISTAL 0,98 X 1,80                  PC    +000000051
E20192389400015409127         PET AMAZONAS CARAMELO 0,98 X 1,80                 PC    +000000050
E20192389400015409504         PET NIAGARA CARAMELO  0,98 X 1,80                 PC    +000000800
E20192389400015409502         PET NIAGARA CRISTAL 0,98 X 1,80                   PC    +000000800
E20192389400015408670         PET REVOADO CARAMELO 0,98 X 1,80                  PC    +000001800
E20192389400015408251         PET REVOADO CRISTAL 0,98 X 1,80                   PC    +000003220
E20192389400015408851         PET REVOADO VERDE 0,98 X 1,80                     PC    +000005150
E20192389400015408040         PET PANTANAL VERDE 0,98 X 1,80                    PC    +000003500
E20192389400015408042         PET PANTANAL CARAMELO 0,98 X 1,80                 PC    +000000100
E20192389400015408209         PET PANTANAL CRISTAL 0,98 X 1,80                  PC    +000001870
E20192389400015408683         PET PANTANAL OURO 0,98 X 1,80                     PC    +000000800
E20192389400015408501         PET PONTILHADO FUME 0,98 X 1,80                   PC    +000006050
E20192389400015408345         PET PONTILHADO CRISTAL 0,98 X 1,80                PC    +000002100
E20192389400015408216         PET LISO CRISTAL 4MM 2,00 X 1,00                  PC    +000000000
E20192389400015408214         PIVOTANTE 0.18.5 X 1.36 C/VD                      PC    +000000500
E20192389400015408681         PIVOTANTE VD.TEMP.FUME 1.50 X 0.95                PC    +000000700
E20192389400015408843         CBA PERFIL AL LIGA 6060 E-2732/CORREMAO           M     +000010000
E20192389400015408255         CONEXAO DE NYLON P/CONTRAMARCO CM 063             PC    +000009900
E20192389400015408672         CBA CUMEEIRA PERFIL AL AF 38/990 0600X1056X0,80   PC    +000003300
E20192389400015408514         SUPORTE FENDA 10MM                                PC    +000027300
E20192389400015408199         CHAPEU TEMPERADO FOSCO BX 17                      BR    +000000334
E20192389400015408034         ARREMATE CLIC FOSCO BX 19                         BR    +000022840
E20192389400015408395         GUIA INFERIOR FOSCO BX 20                         BR    +000000242
E20192389400015409480         BAGUETE U CAVALAO FOSCO BX 21                     BR    +000004500
E20192389400015409130         BAGUETE U CAVALINHO FOSCO BX 22                   BR    +000003200
E20192389400015408112         CHAPEU TEMPERADO AND PRETO BX 17                  BR    +000000300
E20192389400015409649         ARREMATE CLIC ANOD PRETO BX 19                    BR    +000023630
E20192389400015409650         GUIA INFERIOR ANOD PRETO BX 20                    BR    +000000367
E20192389400015409651         BAGUETE U CAVALAO ANOD PRETO BX 21                BR    +000000000
E20192389400015409652         BAGUETE U CAVALINHO ANOD PRETO BX 22              BR    +000000194
E20192389400015409653         ACO CEARENSE METALON 40 X 20 1.20                 PC    +000000550
E20192389400015409654         LANCA PIAO 1/2                                    PC    +000004800
E20192389400015409655         LANCA LBC 1/2                                     PC    +000005300
E20192389400015409656         3F FECHO EMBUTIR C/TRAVA 10CM 401-FLO             PC    +000002800
E20192389400015409657         3F FECH.PARA VITRINE 3011-ZCR                     PC    +000000300
E20192389400015409658         3F FECH SUPREMA BICO PAPAGAIO 615S90E610000CR     PC    +000001500
E20192389400015409659         3F FECH PERFIL ESTREITO ALAV 522E90E5114MVCR      PC    +000002900
