U169915536000133018911978     4650          JUAREZ DE OLIVEIRA ME                             
E2699155360001333216          ADAPTADOR SOLDAVEL 20MM X 1/2"  INJETPLAS         UNI???+000000000
E2699155360001333217          PARAFUSO SEXT 1020 5/16X1.1/2 NC Z RT             UNI???+000018800
E2699155360001333218          PARAFUSO SEXT 8.8 3/8 X 3/4 NC  RT CISER          UNI???+000001700
E2699155360001333219          PARAFUSO SEXT 1020 3/16 X 1.1/4 NC  RT BELENUS    UNI???+000022900
E2699155360001333220          PARAFUSO SEXT 8.8 3/8 X 2 NC  RT CISER            UNI???+000002900
E2699155360001333221          PARAFUSO SEXT 1020 3/8 X 1/2  NC Z RT             UNI???+000002100
E2699155360001333222          PARAFUSO SEXT 1020 3/8 X 3  NCZ RT CH 9/16        UNI???+000002900
E2699155360001333223          LUVA SOLDAVEL RED. 25MM X 20MM KRONA              UNI???+000000000
E2699155360001333224          PARAFUSO 5 X 10 FENDA                             UNI???+000009400
E2699155360001333225          PARAFUSO 5 X 1/2 FENDA                            UNI???+000009300
E2699155360001333226          PORCA SEXTAVADA 1020 3/16 NC Z CH 3/8             UNI???+000048600
E2699155360001333227          ARRUELA PRESSÃO 1/2  Z                            UNI???+000010000
E2699155360001333228          GRAXA AZUL 500G                                   UNI???+000000800
E2699155360001333229          ABRAÇADEIRA ROS 32MM 7/8 X 1.1/4                  UNI???+000000000
E2699155360001333230          ABRAÇADEIRA ROS 38MM 1 X 1.1/2                    UNI???+000000000
E2699155360001333231          ABRAÇADEIRA ROS 44MM 1.1/4 X 1.3/4                UNI???+000000000
E2699155360001333232          ABRAÇADEIRA ROS 64MM 2 X 2.1/2                    UNI???+000000000
E2699155360001333233          MOTOR VOGES NEMA 56 5CV 220/380V 2P               UNI???+000000000
E2699155360001333234          MOTOR BOMBA SCHNEIDER - ME-BR1220                 UNI???+000000000
E2699155360001333235          ROTOR KING Z KMU ESTÁGIO 5-15CV                   UNI???+000000000
E2699155360001333236          ROTOR KING Z KMU CARCAÇA 5-15CV                   UNI???+000000000
E2699155360001333237          ROLAMENTO DE ESFERA 6203                          UNI???+000000000
E2699155360001333238          ROLAMENTO DE ESFERAS 17X40X14 STIHL               UNI???+000000000
E2699155360001333239          RETENTOR 17X32.9X3.6 STIHL                        UNI???+000000400
E2699155360001333240          CHAPA LATERAL INTERNA STIL                        UNI???+000000600
E2699155360001333241          ARRUELA DE COBERTURA 13.5X52X1.5                  UNI???+000000200
E2699155360001333984          TEE SOLD 32MM KRONA                               UNI???+000004500
E2699155360001333242          EMBREAGEM STIHL 1122-160-2002                     UNI???+000000300
E2699155360001333243          TAMPA DO TANQUE STIHL 0000-350-0509               UNI???+000000300
E2699155360001333244          BOMBA DE OLEO LUB. CURSO 0.9MM DE MANGN. STIHL    UNI???+000000100
E2699155360001333245          PRÉ-FILTRO STIHL 0000-141-0300                    UNI???+000001500
E2699155360001333246          CARCAÇA DE VIRABREQUIM STIHL                      UNI???+000000000
E2699155360001333337          MOTOR BOMBA 3CV MU 2 ESTAGIO                      UNI???+000000000
E2699155360001333248          ETIQUETA AZUL P/ENVIO DE PEÇAS STIHL 0457-881-1200UNI???+000001000
E2699155360001333249          SACO PLASTICO GARANTIA 400X500                    UNI???+000001000
E2699155360001333250          SACO PLASTICO PEÇAS GARANTIA 200X260              UNI???+000005000
E2699155360001333251          TAMPA DO TANQUE STIHL 0000-350-0520               UNI???+000000500
E2699155360001333252          ANEL DE VEDAÇÃO STIHL B4 X 2                      UNI???+000000300
E2699155360001333253          JUNTA DE VEDAÇÃO STIHL 4116-129-0902              UNI???+000001600
E2699155360001333254          PARAFUSO STIHL                                    UNI???+000002000
E2699155360001333255          PARAFUSO STIHL IS-D5.3 X 41                       UNI???+000000900
E2699155360001333256          PARAFUSO DE AÇO IS-M4X16                          UNI???+000000000
E2699155360001333257          PARAFUSO IS-M5X16                                 UNI???+000000000
E2699155360001333258          RETENTOR STIHL 17X30X4.4 9639-010-1743            UNI???-000000300
E2699155360001333259          GAIOLA DE AGULHAS STIHL 10X13X12.5                UNI???+000000400
E2699155360001333260          JUNTA DE VEDAÇÃO STIHL 1122-029-0507              UNI???+000000200
E2699155360001333261          MANGUEIRA STIHL 75MM 1121-640-9400                UNI???+000000600
E2699155360001333262          PEÇA ANGULAR STIHL 1127-640-9200                  UNI???+000000300
E2699155360001333263          ARRUELA STIHL 22.4/26.85X47.5X1                   UNI???+000001000
E2699155360001333264          BOMBA DE OLEO STIHL 1127-640-3204                 UNI???+000000300
E2699155360001333265          ENSILADEIRA EN-12 C/ ACESSO P/ TRATOR CONVENCIONALUNI???+000000100
E2699155360001333266          COLA ADESIVA P/ PVC 175GR VÌQUA                   UNI???+000001000
E2699155360001333267          VOLANTE C/ POLIA DPM-JUNIOR                       UNI???+000000000
E2699155360001333269          CAPACITOR PARTIDA 110/120 VCA -72- 88 UF          UNI???+000001300
E2699155360001333270          CAPACITOR PERMANENTE 250VCA 5UF                   UNI???+000000000
E2699155360001333271          CAPACITOR PERMANENTE 250VCA 7UF                   UNI???+000000000
E2699155360001333272          HIDRAULICO KING JKB 46 PONTA EIXO BRONZE          UNI???+000000000
E2699155360001333273          BOMBA SCHNEIDER BC-92SHB                          UNI???+000000000
E2699155360001333274          KIT TUBO DE VENTURI 1 C/ 2MTS MANG.VÍQUA          UNI???+000000500
E2699155360001333275          ASPERSOR-IRRIGADOR MULTIFUNÇÃO                    UNI???+000005000
E2699155360001333276          ADAPTADOR CURTO 32X1 IRRIGAÇÃO VIQUA              UNI???-000001800
E2699155360001333277          ADAPTADOR CURTO 50X1 1/2 IRRIGAÇÃO VIQUA          UNI???-000001800
E2699155360001333278          VALVULA RETENÇÃO TIPO PORT. 1.1/2 ROSC. IRR       UNI???+000000000
E2699155360001333279          GRAXA AZUL 20KG                                   UNI???+000000000
E2699155360001333280          LÂMINA DE 2 FACAS DE AÇO 305-2 ESPECIAL 4000713410UNI???+000000500
E2699155360001333281          LAVADORA WAP TURBO INOX DUO 75L 220V              UNI???+000000000
E2699155360001333282          LAVADORA WAP NAZCA DOMESTICA                      UNI???+000000000
E2699155360001333283          BOMBA SCHNEIDER SUB7-07SA4E10                     UNI???+000000000
E2699155360001333284          BOMBA SUB EBARA 4BPS - 09 ESTAGIOS  0.75CV 220    UNI???+000000000
E2699155360001333285          BOMBA SUB EBARA 4BPS3F - 10 1 HP  220V MONO       UNI???+000000000
E2699155360001333983          LUVA SOLD. 50MM KRONA                             UNI???+000003500
E2699155360001333286          BOMBA SUB EBARA 4BPS3F-13 EST. 1.5CV 220 - 2FIOS  UNI???+000000100
E2699155360001333290          TAMPA DO PINHÃO DA CORRENTE                       UNI???+000000100
E2699155360001333291          TAMPA DO PINHÃO DA CORRENTE                       UNI???-000000100
E2699155360001333292          PLACA DO FILTRO STIHL 1130-124-0800               UNI???+000005200
E2699155360001333293          PARAUFUSO PRISIONEIRO DE AÇO M5                   UNI???+000001000
E2699155360001333294          ANEL DE COMPRESSÃO STIHL 046X1.5                  UNI???+000000200
E2699155360001333295          ANEL DE VEDAÇÃO REDONDO DE BORRACHA 23X3 964594824UNI???+000001500
E2699155360001333296          JUNTA DE VEDAÇÃO DO SILENCIADOR STHIL             UNI???+000000700
E2699155360001333297          JUNTA DE VEDAÇÃO STIHL 1123-149-0500              UNI???+000000200
E2699155360001333298          SEM FIM STIHL 1121-640-7111                       UNI???+000000000
E2699155360001333299          SEM FIM STIHL1128-640-7112                        UNI???-000000100
E2699155360001333300          ARRASTADOR STIHL 1121-647-3100                    UNI???+000000500
E2699155360001333301          MOLA STIHL 1128-647-2400                          UNI???+000000500
E2699155360001333302          MOLA STIHL 1122-647-2401                          UNI???+000000500
E2699155360001333303          ARRUELA 0000-958-1234                             UNI???+000000500
E2699155360001333304          CALÇA DE SEGURANÇA NR 44 STIHL                    UNI???+000000000
E2699155360001333305          BOTA DE SEGURANÇA STANDARD STIHL N 43             UNI???+000000000
E2699155360001333306          JOGO DE ROLETE ANULAR 3/8 7D STIHL                UNI???+000000100
E2699155360001333307          EMBREAGEM STIHL 1125-160-2006                     UNI???+000000600
E2699155360001333308          ANEL DE SEGURANÇA 4X8.85X0.7 STIHL                UNI???+000002200
E2699155360001333309          BALANCIM DE ADMISSÃO                              UNI???+000000000
E2699155360001333310          BUCHA DO BALANCIM FORTHENGINA                     UNI???+000000000
E2699155360001333311          BALANCIM DE ESCAPE                                UNI???+000000000
E2699155360001333312          SUPORTE DO EIXO DO BALANCIM                       UNI???+000000100
E2699155360001333313          PARAFUSO DE AJUSTE DO BALANCIM                    UNI???+000000200
E2699155360001333314          ELEMENTO DO FILTRO DE AR FORTH ENGINE             UNI???+000000000
E2699155360001333315          DESENGRIPANTE WHITE LUB                           UNI???-000000300
E2699155360001333316          VELA DE IGNIÇÃO STIHL 00004007000                 UNI???+000005400
E2699155360001333317          ADAPTADOR AZUL SOLDÁVEL 50MM X 2 INJETPLAS        UNI???+000001100
E2699155360001333318          PARTE DO FILTRO DE AR. VILIES                     UNI???+000000000
E2699155360001333319          PLACA DO FILTRO STIHL 4119-141-1700               UNI???+000000200
E2699155360001333320          FILTRO DE AR STIHL 1135-120-1601                  UNI???+000001500
E2699155360001333321          PRÉ-FILTRO STIHL 1119-120-1501                    UNI???+000000300
E2699155360001333322          BALA DE IOGURTE                                   UNI???+000000000
E2699155360001333323          SEM FIM STIHL 1122-640-7105                       UNI???+000000300
E2699155360001333324          ROÇADEIRA STIHL FS 55 GBS 230-2 41402000396       UNI???+000000100
E2699155360001333325          ROÇADEIRA FS 250 DM 250-3                         UNI???+000000200
E2699155360001333326          VALVULA RETENÇÃO DE LINHA CIPLA 3/4"              UNI???-000000200
E2699155360001333327          VALVULA RETENÇÃO DE LINHA CIPLA 1"                UNI???+000001200
E2699155360001333328          VALVULA RETENÇÃO DE LINHA CIPLA 1.1/4"            UNI???+000001100
E2699155360001333329          VALVULA RETENÇÃO DE LINHA CIPLA 1.1/2"            UNI???+000001200
E2699155360001333330          PISTAO 47MM MS310                                 UNI???+000000100
E2699155360001333331          MÓDULO DE IGNIÇÃO STIHL 1122-400-1314             UNI???+000000000
E2699155360001333332          MS 361 MOTOSSERRA.40CM/16 .36RS 11352000438       UNI???+000000400
E2699155360001333333          MS 260 MOTOSSERRA.32CM/13.36RS 11212000331        UNI???+000000000
E2699155360001333334          MS 310 MOTOSSERRA.32CM/13.36RM                    UNI???+000000000
E2699155360001333338          FITA AUTO FUSÃO 19MM X 5M  LORENZETTI             UNI???+000000000
E2699155360001333982          LUVA SOLD. 32MM KRONA                             UNI???+000011000
E2699155360001333339          ROLAMENTO TIMKEN 6006                             UNI???+000000200
E2699155360001333340          ROLAMENTO TIMKEN 6007                             UNI???+000000000
E2699155360001333341          ROLAMENTO TIMKEN 6008                             UNI???+000000600
E2699155360001333342          ROLAMENTO TIMKEN 6307                             UNI???+000000100
E2699155360001333343          ROLAMENTO TIMKEN 6202                             UNI???+000000000
E2699155360001333344          ROLAMENTO TIMKEN 6203                             UNI???+000000000
E2699155360001333353          BOMBA SCHNEIDER ME-BR1630 3CV 6 EST. TRIF.        UNI???+000000000
E2699155360001333346          ROLAMENTO TIMKEN 6206                             UNI???+000000000
E2699155360001333347          VÁLVULA P/ TANQUE COMB. ÓLEO STIHL 07473136810    UNI???+000007600
E2699155360001333348          ELO DE LIGAÇÃO 3/8" PMN STIHL 3982-662-1200       UNI???-000001600
E2699155360001333349          ELO DE LIGAÇÃO C/ REBITE 3/8" PMN STIHL           UNI???-000000300
E2699155360001333350          ELO DE LIGAÇÃO STIHL 3519-662-1200                UNI???+000016700
E2699155360001333351          ÓCULOS DE PROTEÇÃO STIHL 0000-884-0307            UNI???+000003200
E2699155360001333356          JOELHO INTERNO 1/2"                               UNI???-000000100
E2699155360001333357          PARAFUSO SEXT. 5/16 X 11/4 ZINCADO                UNI???+000000000
E2699155360001333358          PARAFUSO SEXT. 5/16 X 1/2 ZINCADO                 UNI???+000017500
E2699155360001333359          PARAFUSO SEXT. 5/16 X 2" ZINCADO                  UNI???+000000000
E2699155360001333360          PARAFUSO SEXT. 3/8 X 3/4 ZINCADO                  UNI???+000015000
E2699155360001333361          PARAFUSO SEXT. 3/8 X 1 ZINCADO                    UNI???+000002700
E2699155360001333362          PARAFUSO SEXT. 3/8 X 11/2 ZINCADO                 UNI???+000000000
E2699155360001333363          PARAFUSO 3/8 X 11/2 CAB. XATA FENDA ZINCADO       UNI???-000000400
E2699155360001333364          PARAFUSO 5/16 X 11/2 CAB. XATA ZINCADO            UNI???+000000000
E2699155360001333365          PARAFUSO ALEN AÇO 3/8X5/16                        UNI???-000003400
E2699155360001333366          ARRUELA LISA 5/16 ZINCADO                         UNI???+000016500
E2699155360001333367          ARRUELA LISA 3/8 ZINCADO                          UNI???+000018600
E2699155360001333368          ARRUELA PRESSÃO 5/16 ZINCADO                      UNI???+000000000
E2699155360001333369          ARRUELA DE PRESSÃO 3/8 ZINCADA                    UNI???+000000000
E2699155360001333370          PORCA SEXT. 5/16 ZB ZINCADA                       UNI???+000019100
E2699155360001333371          PORCA SEXT. 3/8 ZB ZINCADA                        UNI???+000017300
E2699155360001333372          CONTRA FACA SERTANEJA                             UNI???+000000200
E2699155360001333375          JOELHO SOLD. PVC 25MM 90º KRONA                   UNI???+000008900
E2699155360001333376          JOELHO SOLD. PVC 50MM 90º KRONA                   UNI???+000006300
E2699155360001333377          JOELHO SOLD. PVC 60MM 90º KRONA                   UNI???+000000500
E2699155360001333378          LUVA SR PVC 32X1 KRONA                            UNI???+000000000
E2699155360001333379          ADAPTADOR SOLD 40 X 1.1/4  KRONA                  UNI???+000017900
E2699155360001333380          MOTOR VOGES BLINDADO IP55 1CV 71B2 2P 220/380     UNI???+000000000
E2699155360001333381          MOTOR VOGES BLINDADO IP55 1.5CV 80A2 2P 220/380   UNI???+000000000
E2699155360001333382          MOTOR VOGES BLINDADO IP55 4CV 90L2 2P 220/380     UNI???+000000000
E2699155360001333383          MOTOR VOGES BLINDADO IP55 6CV 112MA2 2P 220/380   UNI???+000000000
E2699155360001333384          MOTOR VOGES BLINDADO IP55 20CV 160MA2 2P 220/380  UNI???+000000000
E2699155360001333385          MOTOR VOGES BLINDADO IP55 25CV 160M2 2P 220/380   UNI???+000000000
E2699155360001333386          MOTOR VOGES BLINDADO IP55 30CV 160L2 2P 220/380   UNI???+000000000
E2699155360001333387          MOTOR VOGES BLINDADO IP55 40CV 200M2 2P 220/380   UNI???+000000000
E2699155360001333388          MOTOR VOGES BLINDADO IP55 50CV 200L2 2P 220/380   UNI???+000000000
E2699155360001333389          MOTOR VOGES BLINDADO IP55 1CV 80A4 4P 220/380     UNI???+000000000
E2699155360001333390          MOTOR VOGES BLINDADO IP55 1.5CV 80B4 4P 220/380   UNI???+000000000
E2699155360001333391          MOTOR VOGES BLINDADO IP55 4CV 100LA4 4P 220/380   UNI???+000000000
E2699155360001333392          FITA VEDA ROSCA 18MM X 20M VÍQUA                  UNI???-000001400
E2699155360001333393          MOTOR VOGES BLINDADO IP55 20CV 160M4 4P 220/380   UNI???+000000000
E2699155360001333394          MOTOR VOGES BLINDADO IP55 25CV 160L4 4P 220/380   UNI???+000000000
E2699155360001333395          MOTOR VOGES BLINDADO IP55 40CV 200M4 4P 220/380   UNI???+000000000
E2699155360001333396          MOTOR VOGES BLINDADO IP55 50CV 200L4 4P 220/380   UNI???+000000000
E2699155360001333397          BOMBA SCHNEIDER ME-BR1420V 2T 60 2/3 TRIF.        UNI???+000000000
E2699155360001333981          JOELHO SOLD. PVC 32MM 90º KRONA                   UNI???+000008500
E2699155360001333398          MOTOR VOGES BLINDADO IP55 60CV 225S/M2 2P 220/380 UNI???+000000000
E2699155360001333399          MOTOR VOGES BLINDADO IP55 75CV 225S/M2 2P 220/380 UNI???+000000000
E2699155360001333400          MOTOR VOGES BLINDADO IP55 100CV 250S/M2 2P 220/380UNI???+000000000
E2699155360001333401          MOTOR VOGES BLINDADO IP55 125CV 280S/M2 2P 220/380UNI???+000000000
E2699155360001333402          MOTOR VOGES BLINDADO IP55 150CV 280S/M2 2P 220/380UNI???+000000000
E2699155360001333403          MOTOR VOGES BLINDADO IP55 175CV 315S/M2 220/380   UNI???+000000000
E2699155360001333404          MOTOR VOGES BLINDADO IP55 200CV 315S/M2 2P 220/380UNI???+000000000
E2699155360001333405          MOTOR VOGES BLINDADO IP55 250CV 315S/M2 2P 220/380UNI???+000000000
E2699155360001333406          MOTOR VOGES BLINDADO IP55 60CV 225S/M4 4P 220/380 UNI???+000000000
E2699155360001333407          MOTOR VOGES BLINDADO IP55 75CV 225S/M4 4P 220/380 UNI???+000000000
E2699155360001333408          MOTOR VOGES BLINDADO IP55 100CV 250S/M4 4P 220/380UNI???+000000000
E2699155360001333409          MOTOR VOGES BLINDADO IP55 125CV 280S/M4 4P 220/380UNI???+000000000
E2699155360001333410          MOTOR VOGES BLINDADO IP55 150CV 280S/M4 4P 220/380UNI???+000000000
E2699155360001333411          MOTOR VOGES BLINDADO IP55 175CV 315S/M4 4P 220/380UNI???+000000000
E2699155360001333412          MOTOR VOGES BLINDADO IP55 200CV 315S/M4 4P 220/380UNI???+000000000
E2699155360001333413          MOTOR VOGES BLINDADO IP55 250CV 315S/M4 4P 220/380UNI???+000000000
E2699155360001333414          MOTOR VOGES BLINDADO IP55 1CV 90SA6 6P 220/380    UNI???+000000000
E2699155360001333415          MOTOR VOGES BLINDADO IP55 1.5CV 90S6 6P 220/380   UNI???+000000000
E2699155360001333416          MOTOR VOGES BLINDADO IP55 2CV 100LA6 6P 220/380   UNI???+000000000
E2699155360001333417          MOTOR VOGES BLINDADO IP55 3CV 100L6 6P 220/380    UNI???+000000000
E2699155360001333418          MOTOR VOGES BLINDADO IP55 4CV 112M6 6P 220/380    UNI???+000000000
E2699155360001333419          MOTOR VOGES BLINDADO IP55 5CV 132SA6 6P 220/380   UNI???+000000000
E2699155360001333420          MOTOR VOGES BLINDADO IP55 6CV 132S6 6P 220/380    UNI???+000000000
E2699155360001333421          MOTOR VOGES BLINDADO IP55 10CV 132MA6 6P 220/380  UNI???+000000000
E2699155360001333422          BOMBA SCHNEIDER BC- 22 R 1 1/2 15 T TRIF          UNI???+000000000
E2699155360001333423          MOTOR VOGES BLINDADO IP55 12.5CV 160MA6 6P 220/380UNI???+000000000
E2699155360001333424          MOTOR VOGES BLINDADO IP55 15CV 160M6 6P 220/380   UNI???+000000000
E2699155360001333425          PORCA DE SEGURANÇA STIHL ISO7042- M5              UNI???+000005100
E2699155360001333426          MOTOR VOGES BLINDADO IP55 20CV 160L6 6P 220/380   UNI???+000000000
E2699155360001333427          MOTOR VOGES BLINDADO IP55 25CV 180L6 6P 220/380   UNI???+000000000
E2699155360001333428          MOTOR VOGES BLINDADO IP55 30CV 200L6 6P 220/380   UNI???+000000000
E2699155360001333429          MOTOR VOGES BLINDADO IP55 40CV 200L6 6P 220/380   UNI???+000000000
E2699155360001333430          MOTOR VOGES BLINDADO IP55 50CV 225S/M6 6P 220/380 UNI???+000000000
E2699155360001333431          MOTOR VOGES BLINDADO IP55 60CV 250S/M6 6P 220/380 UNI???+000000000
E2699155360001333432          MOTOR VOGES BLINDADO IP55 75CV 250S/M6 6P 220/380 UNI???+000000000
E2699155360001333433          MOTOR VOGES BLINDADO IP55 100CV 208S/M6 220/380   UNI???+000000000
E2699155360001333434          MOTOR VOGES BLINDADO IP55 125CV 280S/M6 6P 220/380UNI???+000000000
E2699155360001333435          MOTOR VOGES BLINDADO IP55 150CV 315S/M6 6P 220/380UNI???+000000000
E2699155360001333436          MOTOR VOGES BLINDADO IP55 175CV 315S/M6 6P 220/380UNI???+000000000
E2699155360001333437          MOTOR VOGES BLINDADO IP55 200CV 315S/M6 6P 220/380UNI???+000000000
E2699155360001333438          CONTATOR WEG CWM25-10-30V41325V 50HZ 380V         UNI???+000000100
E2699155360001333439          RELE TEMPORIZADOR RTW-ET 2NAF3-30S220-240VAC/24VDCUNI???+000000400
E2699155360001333440          MOTOR VOGES BLINDADO IP55 1CV 90L8 8P 220/380     UNI???+000000000
E2699155360001333980          CURVA 90° SOLD. 32MM KRONA                        UNI???+000001600
E2699155360001333441          MOTOR VOGES BLINDADO IP55 1.5CV 100LA8 8P 220/380 UNI???+000000000
E2699155360001333442          MOTOR VOGES BLINDADO IP55 2CV 112MA8 8P 220/380   UNI???+000000000
E2699155360001333443          MOTOR VOGES BLINDADO IP55 3CV 132SA8 8P 220/380   UNI???+000000000
E2699155360001333444          MOTOR VOGES BLINDADO IP55 4CV 132MA8 8P 220/380   UNI???+000000000
E2699155360001333445          MOTOR VOGES BLINDADO IP55 5CV 132M8 8P 220/380    UNI???+000000000
E2699155360001333446          MOTOR VOGES BLINDADO IP55 7.5CV 160MA8 8P 220/380 UNI???+000000000
E2699155360001333447          MOTOR VOGES BLINDADO IP55 10CV 160L8 8P 220/380   UNI???+000000000
E2699155360001333448          MOTOR VOGES BLINDADO IP55 12.5CV 180M8 8P 220/38  UNI???+000000000
E2699155360001333449          MOTOR VOGES BLINDADO IP55 15CV 180L8 8P 220/380   UNI???+000000000
E2699155360001333450          MOTOR VOGES BLINDADO IP55 20CV 180L8 8P 220/380   UNI???+000000000
E2699155360001333451          MOTOR VOGES BLINDADO IP55 25CV 200L8 8P 220/380   UNI???+000000000
E2699155360001333452          MOTOR VOGES BLINDADO IP55 30CV 225S/M8 8P 220/380 UNI???+000000000
E2699155360001333453          MOTOR VOGES BLINDADO IP55 40CV 225S/M8 8P 220/380 UNI???+000000000
E2699155360001333454          MOTOR VOGES BLINDADO IP55 50CV 250S/M8 8P 220/380 UNI???+000000000
E2699155360001333455          MOTOR VOGES BLINDADO IP55 60CV 250S/M8 8P 220/380 UNI???+000000000
E2699155360001333456          COLA ADESIVA P/ PVC 850GR VÌQUA                   UNI???+000000600
E2699155360001333457          MOTOR VOGES BLINDADO IP55 100CV 280S/M8 8P 220/380UNI???+000000000
E2699155360001333458          MOTOR VOGES BLINDADO IP55 125CV 315S/M8 8P 220/380UNI???+000000000
E2699155360001333459          MOTOR VOGES BLINDADO IP55 150CV 315S/M8 8P 220/380UNI???+000000000
E2699155360001333461          NIPLE C/ REDUÇÃO P/ MANG  3" X 2"  F - LOPES      UNI???+000003500
E2699155360001333462          MOTOR VOGES NEMA 56 1/3CV 110/220 4P              UNI???+000000000
E2699155360001333463          MOTOR VOGES NEMA 56 1/4CV 110/220 4P              UNI???+000000000
E2699155360001333464          MOTOR VOGES NEMA 56 3/4CV 110/220 2P              UNI???+000000000
E2699155360001333465          MOTOR VOGES NEMA 56 3/4CV 110/220 4P              UNI???+000000000
E2699155360001333466          MOTOR VOGES NEMA 56 1/4CV 110/220 2P              UNI???+000000000
E2699155360001333467          MOTOR VOGES NEMA 56 1/3CV 110/220 2P              UNI???+000000000
E2699155360001333468          MANGUEIRA TRANÇADA 450PSI 5/16 A AR               M?????+000006000
E2699155360001333538          SELO MECANICO 1.1/2" SELOBRAZ TS-P                UNI???+000000100
E2699155360001333470          REGISTRO PN 30                                    UNI???+000000000
E2699155360001333471          CONJUNTO DE BALANCIN FORTH ENGINE                 UNI???+000000000
E2699155360001333472          FILTRO DE COMBUSTIVEL                             UNI???+000000000
E2699155360001333473          LUVA ZINCADA C/ REDUÇÃO 3 X 2.1/2                 UNI???+000000000
E2699155360001333474          CORRENTE STIHL 36 RAPID MICRO RM 1.6MM 35190001640UNI???-000002000
E2699155360001333475          MS 381 MOTOSSERRA. 40CM/16 36RS 11192000129       UNI???+000000000
E2699155360001333476          UNIÃO ZINCADA ASSENTO BROZE 2.1/2"                UNI???+000000000
E2699155360001333477          UNIÃO ZINCADA ASSENTO BROZE 2"                    UNI???+000000000
E2699155360001333478          UNIÃO ZINCADA ASSENTO BROZE 3"                    UNI???+000000000
E2699155360001333479          VALVULA DE PÉ FERRO 2" FERREIRA LOPES             UNI???+000002900
E2699155360001333480          VALVULA DE PÉ FERRO 2.1/2 FERREIRA LOPES          UNI???+000001700
E2699155360001333481          VALVULA DE PÉ FERRO 3" FERREIRA LOPES             UNI???+000000900
E2699155360001333979          CURVA 90° SOLD. 25MM KRONA                        UNI???+000001600
E2699155360001333482          VALVULA DE PÉ FERRO 1" FERREIRA LOPES             UNI???+000000700
E2699155360001333483          VALVULA DE PÉ FERRO 5 FERREIRA LOPES              UNI???+000000000
E2699155360001333484          VALVULA DE PÉ FERRO 1.1/2" FERREIRA LOPES         UNI???+000002600
E2699155360001333485          MOTOR VOGES RURAL RBK 1CV 90S2 2P 220/440V        UNI???+000000000
E2699155360001333486          MOTOR VOGES RURAL RBK 1.5CV 90S2 2P 220/440       UNI???+000000000
E2699155360001333487          MOTOR VOGES RURAL RBK 2CV 90L2 2P 220/440         UNI???+000000000
E2699155360001333488          MOTOR VOGES RURAL RBK 3CV 100L2 2P 220/440        UNI???+000000000
E2699155360001333489          MOTOR VOGES RURAL RBK 4CV 112MA2 2P 220/440       UNI???+000000000
E2699155360001333490          MOTOR VOGES RURAL RBK 5CV 100 2P 220/440          UNI???+000000000
E2699155360001333491          MOTOR VOGES RURAL RBK 7.5CV 132S2 2P 220/440      UNI???+000000000
E2699155360001333492          MOTOR VOGES RURAL RBK 10CV 132M2 2P 220/440       UNI???+000000000
E2699155360001333493          MOTOR VOGES RURAL RBK 12.5CV 132M2 2P 220/440     UNI???+000000000
E2699155360001333494          MOTOR VOGES RURAL RBK 15CV 132L2 2P 220/440       UNI???+000000100
E2699155360001333495          MOTOR VOGES RURAL RBK 1CV 90S4 4P 220/440         UNI???+000000000
E2699155360001333496          MOTOR VOGES RURAL RBK 2CV 100L4 4P 220/440        UNI???+000000100
E2699155360001333497          MOTOR VOGES RURAL RBK 3CV 112MA4 4P 220/440       UNI???+000000100
E2699155360001333498          MOTOR VOGES RURAL RBK 4CV 112M4 4P 220/440        UNI???+000000000
E2699155360001333499          MOTOR VOGES RURAL RBK 5CV 132S4 4P 220/440        UNI???+000000000
E2699155360001333500          MOTOR VOGES RURAL RBK 7.5CV 132MA4 4P 220/440V    UNI???+000000000
E2699155360001333501          MOTOR VOGES RURAL RBK 10CV 132M4 4P 220/440V      UNI???+000000000
E2699155360001333502          MOTOR VOGES RURAL RBK 12.5CV 132M4 4P 220/440V    UNI???+000000000
E2699155360001333503          TEE SOLDÁVEL AZUL C/ ROSCA 50MM X 3/4" VÌQUA      UNI???+000005300
E2699155360001333504          TEE SOLDÁVEL AZUL C/ ROSCA 50MM X 1" VÌQUA        UNI???+000005600
E2699155360001333505          MAQUINA DE SOLDA VULCANO JOB 2500 110/220         UNI???+000000000
E2699155360001333506          MOTOR B VOGES NEMA 56 1/4CV 10PB56 2P 110/220 149 UNI???+000000000
E2699155360001333507          MOTOR B VOGES NEMA 56 1/3CV 10PC56 2P 110/220 149JUNI???+000000000
E2699155360001333508          MOTOR B VOGES NEMA 56 1/2CV 10PC56 2P 110/220 149JUNI???+000000000
E2699155360001333509          MOTOR B VOGES NEMA 56 3/4CV 10PB56 2P 110/220 149 UNI???+000000000
E2699155360001333510          MOTOR B VOGES NEMA 56 1CV 10PT56 2P 110/220 FC149JUNI???-000000500
E2699155360001333511          MOTOR B VOGES NEMA 56 1.5CV 10PC56 2P 110/220 149JUNI???-000000100
E2699155360001333512          MOTOR B VOGES NEMA 56 2CV 10PF56 2P 110/220 FC149JUNI???+000000400
E2699155360001333513          MOTOR B VOGES NEMA 56 3CV 10PJ56 2P 110/220 FC149JUNI???-000000300
E2699155360001333514          LUVA C/ REDUÇÃO FEM/MACH 4 X 3  FERRO FL          UNI???+000000000
E2699155360001333515          LUVA C/ REDUÇÃO FEM/MACH 4 X 2 FERRO FL           UNI???+000000000
